bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0001,2024,S1,"Gail Chasey; Harlan Vincent; William F. Burt; Elizabeth ""Liz"" Stefanics","FEED BILL, FIRE RELIEF & COURT TREATMENT",Chaptered,,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=1&year=24s
SB0005,2024,S1,Craig W. Brandt; Mark Moores; Gregory A. Baca; Crystal R. Brantley,ADD RACKETEERING DEFINITIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=5&year=24s
SB0006,2024,S1,Crystal R. Brantley; Steven McCutcheon  II,DISTRIBUTION OF FENTANYL AS CAPITAL FELONY,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=6&year=24s
SB0007,2024,S1,William F. Burt; Harlan Vincent; William E. Sharer; Greg Nibert; Mark Moores,FIRE & FLOODING RELIEF,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=7&year=24s
SB0008,2024,S1,David M. Gallegos; William E. Sharer; Pat Woods; Steven P. Neville; Mark Moores,BORDER BARRIER,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=8&year=24s
SB0009,2024,S1,Mark Moores,HARM TO SELF & OTHERS DEFINITIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=9&year=24s
SB0010,2024,S1,Mark Moores,COURT COMPETENCY PROCEEDING CHANGES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=10&year=24s
SB0011,2024,S1,Mark Moores,UNSAFE USE OF PUBLIC HIGHWAYS & MEDIANS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=11&year=24s
SB0012,2024,S1,Cliff R. Pirtle,CRIMES IN EVACUATION ZONES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=12&year=24s
SB0013,2024,S1,Cliff R. Pirtle,CERTAIN FIREARM SALES TO LAW ENFORCEMENT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=13&year=24s
SB0014,2024,S1,Crystal R. Brantley; Steven McCutcheon  II,FENTANYL TRAFFICKING SENTENCING,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=14&year=24s
SB0015,2024,S1,Crystal R. Brantley; Steven McCutcheon  II,INTERFERENCE WITH FEDERAL IMMIGRATION,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=15&year=24s
SB0016,2024,S1,Crystal R. Brantley; Steven McCutcheon  II,"DONA ANA, HIDALGO & LUNA COUNTY RADIO TOWERS",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=16&year=24s
SB0017,2024,S1,Mark Moores,LAW ENFORCEMENT CRIME REPORTING,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=17&year=24s
SB0018,2024,S1,Mark Moores,FELON IN POSSESSION OF FIREARM PENALTIES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=18&year=24s
SB0019,2024,S1,David M. Gallegos; William E. Sharer,SCHOOL SAFETY DIVISION IN DPS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=19&year=24s
SJR0001,2024,S1,Ron Griggs; Greg Nibert,"DENIAL OF BAIL, CA",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=JR&legNo=1&year=24s
